"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"F46G10.1",-1.40622387693908,0.000207323227624022,-0.650013727547057,0.046971503040689,-0.116783684813016,0.775700418392594,0.0653486122427286,0.834793408774371,0.217577848468653,0.451022791084958,"Treatment"
"F46G10.2",0.734553270171983,0.00768953562356211,0.136095304452651,0.621783032979082,0.147511625735252,0.707313164388527,-0.122807976026358,0.664039246127497,-0.364316104164346,0.275090972205162,"NS"
"F46G10.7",0.128281845648316,0.805726896136616,0.441890583401422,0.134672688689289,-0.118800216245549,0.784326245238153,0.0615202541841951,0.850237239320732,0.212495430326633,0.478470564780944,"NS"
"F46G10.4",-0.0239262576905216,0.962112992502931,-0.259498139841107,0.419946791256506,0.0494811707162407,0.933091819766899,-0.0713640365554031,0.812949511341677,-0.141445186123635,0.618583888332398,"NS"
"F46G10.5",1.40276985875178,1.06361633550562e-15,1.03156225283636,3.31838440851921e-09,-0.0862616960882919,0.883204475644223,-0.296483182184983,0.13522137808613,-0.241737639394686,0.352081275577071,"Treatment"
"F46G10.6",2.41273968405709,2.03408008568064e-46,2.0804599170217,2.67514664577633e-35,-0.087875006855078,0.842302517305298,-0.286164769127903,0.143656745841878,-0.22496568797599,0.397952681053707,"Treatment"
"C49F8.1",2.2466838787888,1.07473401790431e-15,1.22798634074013,7.21850209407973e-06,0.274947358825172,0.422985490823476,-0.180683767905188,0.488355272587421,-0.708917075120696,0.073789648315611,"Treatment"
"C49F8.2",0.349970941141325,0.426309934903013,-0.00484347088035846,0.991614908900342,-0.0755247697684517,0.88554897646146,-0.224202886056491,0.391991965934271,-0.15657748478561,0.579972504890569,"NS"
"C49F8.3",-0.812055008469472,4.40901492256575e-05,-0.554194638890831,0.00399132195905667,0.190373472011294,0.561785171721235,0.302270333362977,0.149184678766412,0.145355670442022,0.6286703133233,"NS"
"F02C12.3",0.476753994745733,0.428463341774723,0.224636522526947,0.574679278274696,0.039549890254491,0.914617719210995,0.0178831172495927,0.953297393787896,-0.0227832545411009,0.9173181846975,"NS"
"F02C12.1",1.9182690700806,1.79784048855343e-08,0.366767028331063,0.217125598779105,0.169089052421749,0.64699779656924,-0.493709661260737,0.0678724173887622,-1.20021655829076,0.0113255672608685,"Treatment"
"F02C12.5",-0.0115323675896577,0.985200973568534,0.0275140608323944,0.947907235548357,-0.0326528793603409,0.95912121201783,-0.00997829543780675,0.980536598278519,0.0213942640693549,0.949271766788023,"NS"
"C29F7.1",-0.417835887724244,0.312445667876818,-0.207639138219016,0.504004674953902,0.0319447676964165,0.962335727185376,0.0672238847551844,0.831982629053564,0.0472778654450198,0.884514530006111,"NS"
