"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel00071","Fatty acid degradation"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel00410","beta-Alanine metabolism"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel00592","alpha-Linolenic acid metabolism"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel00640","Propanoate metabolism"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel01040","Biosynthesis of unsaturated fatty acids"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel01200","Carbon metabolism"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"C48B4.1",-1.43075976668625,4.70917616396086e-20,"argk-2: Treated vs Untreated","cel04146","Peroxisome"
"ZK632.4",1.58604116435725,4.33345190436073e-13,"argk-2: Treated vs Untreated","cel00051","Fructose and mannose metabolism"
"ZK632.4",1.58604116435725,4.33345190436073e-13,"argk-2: Treated vs Untreated","cel00520","Amino sugar and nucleotide sugar metabolism"
"ZK632.4",1.58604116435725,4.33345190436073e-13,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"ZK632.4",1.58604116435725,4.33345190436073e-13,"argk-2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"ZK632.4",1.58604116435725,4.33345190436073e-13,"argk-2: Treated vs Untreated","cel01250","Biosynthesis of nucleotide sugars"
"Y48A6B.9",-1.02514996162527,4.15606283114102e-05,"argk-2: Treated vs Untreated","cel00061","Fatty acid biosynthesis"
"Y48A6B.9",-1.02514996162527,4.15606283114102e-05,"argk-2: Treated vs Untreated","cel00062","Fatty acid elongation"
"Y48A6B.9",-1.02514996162527,4.15606283114102e-05,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y48A6B.9",-1.02514996162527,4.15606283114102e-05,"argk-2: Treated vs Untreated","cel01212","Fatty acid metabolism"
"Y47D3A.16",1.0852552589553,0.00110582769135882,"argk-2: Treated vs Untreated","cel04140","Autophagy - animal"
"Y47D3A.16",1.0852552589553,0.00110582769135882,"argk-2: Treated vs Untreated","cel04150","mTOR signaling pathway"
"Y47D3A.16",1.0852552589553,0.00110582769135882,"argk-2: Treated vs Untreated","cel04212","Longevity regulating pathway - worm"
