"ENTREZID","SYMBOL","GO","EVIDENCE","ONTOLOGY"
"171665","pif-1","GO:0005739","IEA","CC"
"171665","pif-1","GO:0006281","IEA","BP"
"171665","pif-1","GO:0006310","IEA","BP"
"171665","pif-1","GO:0016787","IEA","MF"
"171665","pif-1","GO:0016887","IEA","MF"
"171665","pif-1","GO:0043139","IBA","MF"
"171665","pif-1","GO:0043139","IEA","MF"
"171666","Y18H1A.9","GO:0004180","IEA","MF"
"171666","Y18H1A.9","GO:0004181","IBA","MF"
"171666","Y18H1A.9","GO:0004181","IEA","MF"
"171666","Y18H1A.9","GO:0005615","IBA","CC"
"171666","Y18H1A.9","GO:0006508","IBA","BP"
"171666","Y18H1A.9","GO:0006508","IEA","BP"
"171666","Y18H1A.9","GO:0008237","IEA","MF"
"171666","Y18H1A.9","GO:0008270","IEA","MF"
"171666","Y18H1A.9","GO:0046872","IEA","MF"
"171667","Y18H1A.8",NA,NA,NA
"171668","T06A4.3","GO:0004180","IEA","MF"
"171668","T06A4.3","GO:0004181","IBA","MF"
"171668","T06A4.3","GO:0004181","IEA","MF"
"171668","T06A4.3","GO:0005615","IBA","CC"
"171668","T06A4.3","GO:0006508","IBA","BP"
"171668","T06A4.3","GO:0006508","IEA","BP"
"171668","T06A4.3","GO:0008237","IEA","MF"
"171668","T06A4.3","GO:0008270","IEA","MF"
"171668","T06A4.3","GO:0046872","IEA","MF"
"171669","T06A4.1","GO:0004180","IEA","MF"
"171669","T06A4.1","GO:0004181","IBA","MF"
"171669","T06A4.1","GO:0004181","IEA","MF"
"171669","T06A4.1","GO:0005615","IBA","CC"
"171669","T06A4.1","GO:0006508","IBA","BP"
"171669","T06A4.1","GO:0006508","IEA","BP"
"171669","T06A4.1","GO:0008237","IEA","MF"
"171669","T06A4.1","GO:0008270","IEA","MF"
"171669","T06A4.1","GO:0046872","IEA","MF"
"171670","zfh-2","GO:0000978","IBA","MF"
"171670","zfh-2","GO:0000981","IBA","MF"
"171670","zfh-2","GO:0003676","IEA","MF"
"171670","zfh-2","GO:0003677","IEA","MF"
"171670","zfh-2","GO:0005634","IBA","CC"
"171670","zfh-2","GO:0005634","IEA","CC"
"171670","zfh-2","GO:0006357","IBA","BP"
"171670","zfh-2","GO:0008270","IEA","MF"
"171671","ZC123.1",NA,NA,NA
"171672","cdk-14","GO:0004672","IEA","MF"
"171672","cdk-14","GO:0004674","IEA","MF"
"171672","cdk-14","GO:0004693","IBA","MF"
"171672","cdk-14","GO:0005524","IEA","MF"
"171672","cdk-14","GO:0005634","IBA","CC"
"171672","cdk-14","GO:0005737","IBA","CC"
"171672","cdk-14","GO:0005829","IBA","CC"
"171672","cdk-14","GO:0006468","IEA","BP"
"171672","cdk-14","GO:0030332","IBA","MF"
"171672","cdk-14","GO:0051726","IEA","BP"
"171672","cdk-14","GO:1901987","IBA","BP"
"171674","Y95B8A.6",NA,NA,NA
"171675","gpa-16","GO:0000132","IMP","BP"
"171675","gpa-16","GO:0000578","IMP","BP"
"171675","gpa-16","GO:0001664","IBA","MF"
"171675","gpa-16","GO:0003924","IBA","MF"
"171675","gpa-16","GO:0003924","IEA","MF"
"171675","gpa-16","GO:0003924","ISS","MF"
"171675","gpa-16","GO:0005515","IPI","MF"
"171675","gpa-16","GO:0005525","IEA","MF"
"171675","gpa-16","GO:0005525","ISS","MF"
"171675","gpa-16","GO:0005737","IBA","CC"
"171675","gpa-16","GO:0005834","IBA","CC"
"171675","gpa-16","GO:0005834","ISS","CC"
"171675","gpa-16","GO:0005938","IDA","CC"
"171675","gpa-16","GO:0007049","IEA","BP"
"171675","gpa-16","GO:0007165","IEA","BP"
"171675","gpa-16","GO:0007186","IEA","BP"
