node_id	node_class	display_label	effect_category	lfc_gxe	padj_gxe	lfc_treat_N2	padj_treat_N2	lfc_geno_unt	padj_geno_unt	lfc_geno_trt	padj_geno_trt	orphan_gxe	degree_GxE_targets
c25d7.5	effector	c25d7.5	GxE	-2.10215307280017	3.20265546080568e-11	4.96038321280562	2.430511078908e-82	1.45399962011986	4.40696530142156e-7	-0.338342137510766	0.1545361232013	TRUE	0
t06e6.5	effector	fbxa-135	GxE	-1.68063572148927	0.0454950493157652	1.17508013374328	0.0446995375323099	2.89254039526393	2.50965134968221e-5	0.149238336334675	0.527677070694149	FALSE	0
t26h5.4	effector	t26h5.4	GxE	1.88068167843855	0.00162814900742301	-1.38996540625377	0.00145432062796804	-1.42223014818218	0.00455805463447273	0.107623740212028	0.691183744227492	TRUE	0
y6e2a.4	effector	y6e2a.4	GxE	-1.27983956433492	7.13380855836608e-6	2.03314446375465	6.84289542090284e-21	1.14958218733312	9.23609679698474e-7	-0.0509450940795678	0.884209241665074	TRUE	0
f54b8.4	effector	f54b8.4	GxE	-1.14096037771638	0.0113255672608685	2.97180266220778	3.09589464898122e-20	1.93159076292321	3.30651565679376e-8	0.270028435907507	0.299973810228408	TRUE	0
f44g3.8	effector	fbxa-144	GxE	-1.3589701695134	0.0102887596069252	1.65794654830566	2.61463258451526e-5	1.7807331980914	3.90451187461584e-5	0.0907183528771156	0.750931292496586	TRUE	0
f10a3.4	effector	f10a3.4	GxE	1.05227362046536	0.0127761094810859	-1.2494397064003	3.8232064009025e-5	-1.10757428950208	0.0012092758201217	0.00106746233347678	0.997431857317243	TRUE	0
c31a11.7	effector	oac-7	GxE	-1.96816426074215	2.3549807534106e-8	2.94536857264231	1.23523289349706e-25	2.35841847412941	6.60192926277722e-16	0.141711840515199	0.603530666568606	FALSE	0
y70c5c.6	effector	nhr-112	GxE	-1.60198082576298	4.7583697077168e-4	1.92902556368978	1.92320590582462e-8	1.60657284262308	2.13600052540832e-5	-0.0107053751613761	0.979818198364004	FALSE	0
zk228.4	effector	zk228.4	GxE	-1.60444042922446	2.04731658697633e-10	3.3390714291426	9.52692491902487e-65	1.29192279121913	6.455531115864931e-9	-0.170684828432233	0.483131022851255	TRUE	0
y17d7b.3	effector	y17d7b.3	GxE	-2.20203227355315	1.71307749998897e-5	5.37099517071969	1.17543247726584e-40	1.83062980673154	6.51065853177589e-5	-0.106834017485368	0.703483811936024	TRUE	0
y39b6a.1	effector	y39b6a.1	GxE	1.12396203353582	0.00328573863529847	-1.89741925379833	5.73900024550794e-13	-1.4799477265799	2.16430366933386e-7	-0.145250304253472	0.594333263514219	TRUE	0
c05e11.5	effector	amt-4	GxE	1.06255097832558	0.00464257330541997	-4.55009220882407	3.84693550336614e-68	-1.34967682887096	1.46638207549459e-6	-0.0820267446148769	0.784957043331116	FALSE	0
t22b7.7	effector	t22b7.7	GxE	-3.65426576063735	0.0139368879299416	0.091975254300617	0.920523908124227	2.19709877567839	0.0456984601296015	-0.10284260565724	0.576462660699642	TRUE	0
f16f9.2	effector	dpy-6	GxE	0.911939775489778	0.00371692850115574	-2.18054806202322	2.4747090871210297e-23	-1.6678771848866	3.66770583819055e-13	-0.442226216537594	0.0484596051212164	FALSE	0
zc373.6	effector	dao-4	GxE	0.152884140043407	0.0139368879299416	-5.52946481461289	0.00568549876722405	0.0140355184661331	0.968585499289066	1.66904288098124	0.00397412704086023	FALSE	0
t21e8.2	effector	pgp-7	GxE	-3.49172074542004	2.5842221268876e-4	4.60068683873951	1.8506242210774702e-10	2.54115165674255	0.00187198555867383	-0.121667967976358	0.583813552002166	FALSE	0
t21e8.1	effector	pgp-6	GxE	-1.82980512661015	9.1183643117568e-18	3.61492753249035	1.7224552503232497e-94	1.70569796204711	1.3036376118e-20	-0.0728579775027655	0.800027114000803	FALSE	0
f42e11.1	effector	pgp-4	GxE	-1.16829620202549	0.044985032286777	3.07190714068126	2.60958800594153e-13	1.02973730524802	0.0324974430753525	-0.0438371963073733	0.902628920955037	TRUE	0
f22e10.1	effector	pgp-12	GxE	-1.17109044199064	2.89488562929313e-5	1.96120659487179	1.3078273569590699e-20	1.1189210565085	1.54149107532079e-6	-0.0340785555811539	0.928791693428684	FALSE	0
